SQL> start Q1.sql
------------------------- -------------------- ----------                       
Sanders                   director                 100000                       
Schiliro                  assistant                600000                       
Sheehy                    assistant                600000                       
Thorbjornsen              assistant                600000                       
Tubman                    manager                  500000                       
Vietor                    director                 100000                       
Bressler                  manager                  500000                       
Carden                    manager                  500000                       
DuBois                    assistant                600000                       
Earnest                   assistant                600000                       
Garcia                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Hornsby                   assistant                600000                       
Hurley                    assistant                600000                       
Kim                       manager                  500000                       
Kramer                    assistant                600000                       
Lee                       director                 100000                       
Lepow                     director                 100000                       
Wang-Levine               supervisor               800000                       
McCathran                 supervisor               800000                       
Millison                  assistant                600000                       
Nabors                    supervisor               800000                       
Nelson                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Rathod                    advisor                  130000                       
Santucci                  manager                  500000                       
Schaub                    manager                  500000                       
Tate-Gilmore              director                 100000                       
Abrams                    assistant                600000                       
Axelrod                   supervisor               800000                       
Beverly                   assistant                600000                       
Campoverdi                director                 100000                       
Camu??ez                  advisor                  130000                       
Chhabra                   advisor                  130000                       
Cusack                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
DeParle                   assistant                600000                       
Droege                    assistant                600000                       
Flatgard                  advisor                  130000                       
Godfrey                   advisor                  130000                       
Greenawalt                manager                  500000                       
Jones                     assistant                600000                       
Kocher                    assistant                600000                       
Lechtenberg               director                 100000                       
Lesser                    supervisor               800000                       
Lipton                    manager                  500000                       
Winter                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Mack                      director                 100000                       
Mayekar                   director                 100000                       
McLaughlin                assistant                600000                       
Nguyen                    supervisor               800000                       
Perez                     supervisor               800000                       
Roberts                   manager                  500000                       
Rundlet                   supervisor               800000                       
Smith                     advisor                  130000                       
Stoneman                  director                 100000                       
Tseggai                   supervisor               800000                       
Utech                     assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Amorsingh                 supervisor               800000                       
Andrias                   manager                  500000                       
Bisi                      supervisor               800000                       
Blount                    director                 100000                       
Burnough                  advisor                  130000                       
Canery                    manager                  500000                       
Dale                      supervisor               800000                       
Finkenbinder              manager                  500000                       
Furman                    supervisor               800000                       
Gottlieb                  advisor                  130000                       
Higginbottom              supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Johnston                  assistant                600000                       
Kang                      assistant                600000                       
Kiley                     assistant                600000                       
Lehrich                   advisor                  130000                       
Lipsky                    manager                  500000                       
Williams                  manager                  500000                       
Wilson                    manager                  500000                       
Yeager Kaplan             manager                  500000                       
McGinnis                  manager                  500000                       
Mueller                   director                 100000                       
Onek                      manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Parker                    manager                  500000                       
Quinn                     manager                  500000                       
Ryan                      manager                  500000                       
Sass                      supervisor               800000                       
Schwartz                  assistant                600000                       
Singiser                  supervisor               800000                       
Tamarin                   assistant                600000                       
Turton                    director                 100000                       
Beliveau                  assistant                600000                       
Brennan                   advisor                  130000                       
Carrier                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Cokley                    assistant                600000                       
Cuellar                   supervisor               800000                       
Dillon                    director                 100000                       
Dorsett                   manager                  500000                       
Frank                     manager                  500000                       
Frankel                   director                 100000                       
Graham                    director                 100000                       
Hopkins                   assistant                600000                       
Johnson                   supervisor               800000                       
Voorman                   director                 100000                       
Lovett                    manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Massey                    manager                  500000                       
McDonough                 director                 100000                       
Miranda                   director                 100000                       
Muntz                     assistant                600000                       
Pojman                    manager                  500000                       
Sutphen                   director                 100000                       
Asen                      assistant                600000                       
Browner                   director                 100000                       
Brush                     supervisor               800000                       
Chen                      assistant                600000                       
Corrigan                  director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Devine                    manager                  500000                       
Edmonds                   manager                  500000                       
Espinel                   director                 100000                       
Gardaphe                  director                 100000                       
Gomez                     assistant                600000                       
Green                     supervisor               800000                       
Hughes                    assistant                600000                       
Juska                     supervisor               800000                       
Kimball                   director                 100000                       
Kravis                    manager                  500000                       
Lerner                    manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Zichal                    manager                  500000                       
Naidoff                   director                 100000                       
Oxtoby                    director                 100000                       
Posey                     director                 100000                       
Rittner                   advisor                  130000                       
Ruemmler                  advisor                  130000                       
Schmuck                   manager                  500000                       
Skoczek                   manager                  500000                       
Tranchin                  assistant                600000                       
Vogel                     manager                  500000                       
Becnel                    advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Birdsall                  manager                  500000                       
Branch                    director                 100000                       
Brown                     assistant                600000                       
Carter                    director                 100000                       
Davis                     supervisor               800000                       
Edwards                   director                 100000                       
Faulman                   assistant                600000                       
Hernandez                 manager                  500000                       
Hogan                     manager                  500000                       
Koo                       manager                  500000                       
Lartey                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Lelyveld                  supervisor               800000                       
Lillie                    director                 100000                       
Love                      manager                  500000                       
Maska                     manager                  500000                       
Metcalf                   director                 100000                       
Neralla                   director                 100000                       
Pfeiffer                  assistant                600000                       
Pulliam                   advisor                  130000                       
Stickel                   manager                  500000                       
Stone                     supervisor               800000                       
Teehee                    advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Terrell                   manager                  500000                       
Albino                    assistant                600000                       
Baldassaro                director                 100000                       
Chambers                  assistant                600000                       
Cuba                      assistant                600000                       
DeGuzman                  director                 100000                       
Fenn                      supervisor               800000                       
Fiscus                    advisor                  130000                       
Ford                      supervisor               800000                       
Gray                      assistant                600000                       
Hanson                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Jabbour                   director                 100000                       
Jarrett                   director                 100000                       
Jean-Pierre               director                 100000                       
Kelly                     assistant                600000                       
Watkins                   advisor                  130000                       
Young                     manager                  500000                       
Markovitz                 director                 100000                       
Monteiro                  manager                  500000                       
Neiman                    assistant                600000                       
Offerman                  assistant                600000                       
Olson                     advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Pate                      assistant                600000                       
Rivadeneira               advisor                  130000                       
Sabochik                  director                 100000                       
Shah                      assistant                600000                       
Strautmanis               manager                  500000                       
Tucci                     advisor                  130000                       
Bassin                    assistant                600000                       
Burman                    manager                  500000                       
Douglas                   assistant                600000                       
Dyer                      manager                  500000                       
Firestone                 assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Hennigan                  director                 100000                       
Jamison                   manager                  500000                       
King                      advisor                  130000                       
Leger                     assistant                600000                       
Lorjuste                  manager                  500000                       
Witt                      director                 100000                       
Mehrbani                  assistant                600000                       
Moilanen                  director                 100000                       
Northern                  advisor                  130000                       
Reeves                    advisor                  130000                       
Saunders                  director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Sinha                     director                 100000                       
Verrilli                  manager                  500000                       
Attili                    manager                  500000                       
Bernard                   assistant                600000                       
Burton                    director                 100000                       
Castillo                  advisor                  130000                       
Conrad                    supervisor               800000                       
Donovan                   assistant                600000                       
Fernkas                   manager                  500000                       
Freeman                   assistant                600000                       
Goodman                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Jarvis                    director                 100000                       
Jung                      advisor                  130000                       
Kumar                     supervisor               800000                       
Ledbetter                 assistant                600000                       
Walsh                     supervisor               800000                       
Luck                      advisor                  130000                       
Mastromonaco              assistant                600000                       
Millett                   manager                  500000                       
Odintz                    assistant                600000                       
Roddick                   assistant                600000                       
Setser                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Sobel                     director                 100000                       
Stracko                   manager                  500000                       
Vale                      advisor                  130000                       
Vega                      manager                  500000                       
Baggetto                  assistant                600000                       
Block                     supervisor               800000                       
Bookey-Baker              director                 100000                       
Campbell                  manager                  500000                       
Cushman                   manager                  500000                       
Fergenson                 manager                  500000                       
Gibbs                     manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Hable                     director                 100000                       
Hitchcock                 assistant                600000                       
Keenan                    manager                  500000                       
Kohnke                    assistant                600000                       
Weiser                    assistant                600000                       
Whitty                    assistant                600000                       
Wong                      director                 100000                       
Alley                     director                 100000                       
McGuire                   assistant                600000                       
Favreau                   manager                  500000                       
Cobbina                   manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Brooke                    advisor                  130000                       

419 rows selected.

SQL> start Q1Edit.sql

Procedure created.

No errors.

PL/SQL procedure successfully completed.


NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Maher                     assistant                600000                       
Messina                   advisor                  130000                       
Newell                    manager                  500000                       
Noel                      director                 100000                       
Oleske                    director                 100000                       
Page                      clerk                     95000                       
Psaki                     supervisor               800000                       
Reinstein                 director                 100000                       
Roche                     director                 100000                       
Rouse                     advisor                  130000                       
Sathe                     director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Schulman                  manager                  500000                       
Seymour                   assistant                600000                       
Shapiro                   assistant                600000                       
Shaw                      manager                  500000                       
Sher                      supervisor               800000                       
Showers                   manager                  500000                       
Siegel                    assistant                600000                       
Sirbu                     manager                  500000                       
Stephens                  supervisor               800000                       
Sutton                    supervisor               800000                       
Terry                     supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Vanderslice               manager                  500000                       
Adams                     assistant                600000                       
Anello                    director                 100000                       
Barnes                    director                 100000                       
Bates                     director                 100000                       
Bedingfield               clerk                     95000                       
Chaifetz                  manager                  500000                       
Clarke                    director                 100000                       
Crutchfield               manager                  500000                       
Dalheim                   manager                  500000                       
Ealons                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Escobar                   assistant                600000                       
Farrell                   director                 100000                       
Gaspard                   clerk                     95000                       
Groth                     assistant                600000                       
Heimbach                  manager                  500000                       
Jawando                   manager                  500000                       
Kennedy                   advisor                  130000                       
Konwinski                 supervisor               800000                       
Lewis                     advisor                  130000                       
Liddell-Westefeld         assistant                600000                       
Limon                     manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Loeb                      advisor                  130000                       
London                    assistant                600000                       
Wear                      assistant                600000                       
White                     director                 100000                       
Lynn                      clerk                     95000                       
Mackey                    supervisor               800000                       
McCarthy                  clerk                     95000                       
Mosteller                 assistant                600000                       
Murtha                    manager                  500000                       
Papas                     assistant                600000                       
Paulsen                   manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Raizk                     manager                  500000                       
Reed                      director                 100000                       
Sahgal                    supervisor               800000                       
Schafer                   director                 100000                       
Sibley                    supervisor               800000                       
Starkey                   director                 100000                       
Swanson                   assistant                600000                       
Tchen                     supervisor               800000                       
Agnew                     assistant                600000                       
Bauer                     assistant                600000                       
Bhowmik                   manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Buffett                   assistant                600000                       
Cherlin                   supervisor               800000                       
Cizner                    advisor                  130000                       
Colvin                    assistant                600000                       
Cutter                    supervisor               800000                       
Deese                     assistant                600000                       
Donilon                   assistant                600000                       
Fernandez                 supervisor               800000                       
Frye                      assistant                600000                       
Gonzalez                  supervisor               800000                       
Hoang                     director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Inouye                    clerk                     95000                       
Larus                     supervisor               800000                       
Watson                    director                 100000                       
Wright                    clerk                     95000                       
Martin                    director                 100000                       
Mattson                   assistant                600000                       
Milakofsky                director                 100000                       
Mu??oz                    manager                  500000                       
Odio                      director                 100000                       
Pope                      director                 100000                       
Rodriguez                 assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Thomas                    director                 100000                       
Belive                    assistant                600000                       
Brundage                  manager                  500000                       
Cardwell                  supervisor               800000                       
Chiodo                    clerk                     95000                       
Crowley                   manager                  500000                       
Davies                    assistant                600000                       
Edgerton                  director                 100000                       
Eisen                     manager                  500000                       
Gillette                  supervisor               800000                       
Gottry                    manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Grant                     director                 100000                       
Harper                    manager                  500000                       
Hurwitz                   director                 100000                       
Kammerer                  manager                  500000                       
Kommareddi                director                 100000                       
LaBolt                    manager                  500000                       
Lewin                     director                 100000                       
Lippert                   director                 100000                       
Lu                        supervisor               800000                       
Narechania                assistant                600000                       
Pipkins                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Portilla                  supervisor               800000                       
Richardson                director                 100000                       
Roach                     clerk                     95000                       
Samuels                   manager                  500000                       
Simas                     advisor                  130000                       
Spencer                   supervisor               800000                       
Trainor                   manager                  500000                       
Turk                      advisor                  130000                       
Valencia                  supervisor               800000                       
Ayling                    manager                  500000                       
Binns                     advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Bond                      director                 100000                       
Brewer                    manager                  500000                       
Campos                    advisor                  130000                       
Claude                    supervisor               800000                       
Cohen                     assistant                600000                       
Dunn                      supervisor               800000                       
Emanuel                   supervisor               800000                       
Greene                    manager                  500000                       
Hegde                     clerk                     95000                       
Hiatt                     clerk                     95000                       
Kochman                   supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Krass                     director                 100000                       
Leitner-Laserna           assistant                600000                       
Lezotte                   assistant                600000                       
Liegel                    assistant                600000                       
Wade                      assistant                600000                       
McGrath                   manager                  500000                       
Mrazek                    clerk                     95000                       
Paige                     clerk                     95000                       
Papa                      manager                  500000                       
Phadke                    clerk                     95000                       
Schuker                   manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Smoot                     advisor                  130000                       
Stoev                     advisor                  130000                       
Summers                   supervisor               800000                       
Sweeney                   manager                  500000                       
Tennison                  manager                  500000                       
Tucker                    manager                  500000                       
Anderson                  assistant                600000                       
Beinart                   supervisor               800000                       
Blake                     manager                  500000                       
Coven                     clerk                     95000                       
Cunningham                director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
DeRosa                    director                 100000                       
Finlen                    assistant                600000                       
Fitts                     manager                  500000                       
Gage                      assistant                600000                       
Harris                    advisor                  130000                       
Hash                      director                 100000                       
Jackson                   director                 100000                       
Jarvis-Shean              director                 100000                       
Kalbaugh                  assistant                600000                       
Kale                      manager                  500000                       
Levine                    supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Webster                   director                 100000                       
Zelman                    manager                  500000                       
McBride                   assistant                600000                       
McNeal                    director                 100000                       
Nathan                    advisor                  130000                       
Ocampo                    supervisor               800000                       
Olmos                     director                 100000                       
Ortiz                     advisor                  130000                       
Pourmorad                 assistant                600000                       
Robertson                 supervisor               800000                       
Rosalsky                  director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Sanders                   supervisor               800000                       
Schiliro                  director                 100000                       
Sheehy                    manager                  500000                       
Thorbjornsen              assistant                600000                       
Tubman                    manager                  500000                       
Vietor                    manager                  500000                       
Bressler                  assistant                600000                       
Carden                    assistant                600000                       
DuBois                    advisor                  130000                       
Earnest                   advisor                  130000                       
Garcia                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Hornsby                   supervisor               800000                       
Hurley                    supervisor               800000                       
Kim                       assistant                600000                       
Kramer                    manager                  500000                       
Lee                       manager                  500000                       
Lepow                     supervisor               800000                       
Wang-Levine               assistant                600000                       
McCathran                 assistant                600000                       
Millison                  director                 100000                       
Nabors                    advisor                  130000                       
Nelson                    director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Rathod                    assistant                600000                       
Santucci                  director                 100000                       
Schaub                    supervisor               800000                       
Tate-Gilmore              assistant                600000                       
Abrams                    supervisor               800000                       
Axelrod                   manager                  500000                       
Beverly                   supervisor               800000                       
Campoverdi                manager                  500000                       
Camu??ez                  supervisor               800000                       
Chhabra                   supervisor               800000                       
Cusack                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
DeParle                   supervisor               800000                       
Droege                    supervisor               800000                       
Flatgard                  director                 100000                       
Godfrey                   advisor                  130000                       
Greenawalt                manager                  500000                       
Jones                     manager                  500000                       
Kocher                    director                 100000                       
Lechtenberg               director                 100000                       
Lesser                    supervisor               800000                       
Lipton                    director                 100000                       
Winter                    manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Mack                      manager                  500000                       
Mayekar                   director                 100000                       
McLaughlin                clerk                     95000                       
Nguyen                    supervisor               800000                       
Perez                     assistant                600000                       
Roberts                   director                 100000                       
Rundlet                   assistant                600000                       
Smith                     advisor                  130000                       
Stoneman                  manager                  500000                       
Tseggai                   director                 100000                       
Utech                     assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Amorsingh                 manager                  500000                       
Andrias                   supervisor               800000                       
Bisi                      assistant                600000                       
Blount                    advisor                  130000                       
Burnough                  assistant                600000                       
Canery                    director                 100000                       
Dale                      director                 100000                       
Finkenbinder              director                 100000                       
Furman                    assistant                600000                       
Gottlieb                  supervisor               800000                       
Higginbottom              director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Johnston                  advisor                  130000                       
Kang                      supervisor               800000                       
Kiley                     clerk                     95000                       
Lehrich                   director                 100000                       
Lipsky                    supervisor               800000                       
Williams                  supervisor               800000                       
Wilson                    director                 100000                       
Yeager Kaplan             supervisor               800000                       
McGinnis                  supervisor               800000                       
Mueller                   manager                  500000                       
Onek                      assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Parker                    assistant                600000                       
Quinn                     director                 100000                       
Ryan                      director                 100000                       
Sass                      supervisor               800000                       
Schwartz                  director                 100000                       
Singiser                  manager                  500000                       
Tamarin                   assistant                600000                       
Turton                    supervisor               800000                       
Beliveau                  advisor                  130000                       
Brennan                   assistant                600000                       
Carrier                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Cokley                    advisor                  130000                       
Cuellar                   clerk                     95000                       
Dillon                    supervisor               800000                       
Dorsett                   director                 100000                       
Frank                     supervisor               800000                       
Frankel                   supervisor               800000                       
Graham                    supervisor               800000                       
Hopkins                   clerk                     95000                       
Johnson                   supervisor               800000                       
Voorman                   assistant                600000                       
Lovett                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Massey                    manager                  500000                       
McDonough                 assistant                600000                       
Miranda                   supervisor               800000                       
Muntz                     supervisor               800000                       
Pojman                    manager                  500000                       
Sutphen                   advisor                  130000                       
Asen                      director                 100000                       
Browner                   manager                  500000                       
Brush                     advisor                  130000                       
Chen                      assistant                600000                       
Corrigan                  manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Devine                    supervisor               800000                       
Edmonds                   assistant                600000                       
Espinel                   assistant                600000                       
Gardaphe                  supervisor               800000                       
Gomez                     supervisor               800000                       
Green                     clerk                     95000                       
Hughes                    director                 100000                       
Juska                     manager                  500000                       
Kimball                   manager                  500000                       
Kravis                    supervisor               800000                       
Lerner                    advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Zichal                    supervisor               800000                       
Naidoff                   director                 100000                       
Oxtoby                    supervisor               800000                       
Posey                     advisor                  130000                       
Rittner                   manager                  500000                       
Ruemmler                  supervisor               800000                       
Schmuck                   advisor                  130000                       
Skoczek                   advisor                  130000                       
Tranchin                  director                 100000                       
Vogel                     director                 100000                       
Becnel                    supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Birdsall                  director                 100000                       
Branch                    supervisor               800000                       
Brown                     supervisor               800000                       
Carter                    supervisor               800000                       
Davis                     assistant                600000                       
Edwards                   assistant                600000                       
Faulman                   manager                  500000                       
Hernandez                 director                 100000                       
Hogan                     manager                  500000                       
Koo                       advisor                  130000                       
Lartey                    manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Lelyveld                  manager                  500000                       
Lillie                    manager                  500000                       
Love                      manager                  500000                       
Maska                     director                 100000                       
Metcalf                   clerk                     95000                       
Neralla                   assistant                600000                       
Pfeiffer                  assistant                600000                       
Pulliam                   supervisor               800000                       
Stickel                   clerk                     95000                       
Stone                     advisor                  130000                       
Teehee                    manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Terrell                   director                 100000                       
Albino                    assistant                600000                       
Baldassaro                assistant                600000                       
